record_id,protocol_id,scenario,variant,variant_status,training_seed,evaluation_episode_index,robot_count,training_episodes,validation_points,safety_envelope,control_step_s,fully_successful_episode,collision_episode,rr_near_miss_count,rp_near_miss_count,average_completion_time_s,makespan_s,average_waiting_time_s,average_path_length_m,astar_reference_path_length_m,executed_to_astar_ratio,trajectory_straightness,turning_per_m_rad_per_m,sharp_turn_count,min_rr_center_distance_m,min_rp_center_distance_m,intervention_ratio,mean_policy_inference_time_ms,p95_policy_inference_time_ms,active_conflict_edge_count_mean,possible_edge_count,edge_density_mean,checkpoint_sha256,source_commit,config_sha256
abl__mixed_complex__Full_CA-GAT-MAPPO__seed0__ep00,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,0,0,4,100,20,ON,0.1,1,0,0,0,46.476403,47.544009,0.464159,21.4825,23.0091,0.9337,0.799511,0.724642,1,0.850058,0.780281,0.304391,0.8225,1.6128,2.65,12,0.220833,e850924e53b1b52b5df6b194b4cc568d08282b00ccd43880d1b6a6b8218dbbb9,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed0__ep01,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,0,1,4,100,20,ON,0.1,1,0,0,0,44.697998,47.524009,0.57955,21.6453,23.1342,0.9356,0.773438,0.69905,0,0.930282,0.781641,0.304817,0.9619,1.5976,1.82,12,0.151667,e850924e53b1b52b5df6b194b4cc568d08282b00ccd43880d1b6a6b8218dbbb9,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed0__ep02,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,0,2,4,100,20,ON,0.1,1,0,0,0,47.480541,47.534009,0.469571,21.3036,22.9326,0.929,0.780553,0.694857,1,0.796765,0.829545,0.297944,0.915,1.6219,1.52,12,0.126667,e850924e53b1b52b5df6b194b4cc568d08282b00ccd43880d1b6a6b8218dbbb9,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed0__ep03,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,0,3,4,100,20,ON,0.1,1,0,0,0,46.752084,47.534009,0.585364,21.4739,23.0527,0.9315,0.785373,0.687568,1,0.853723,0.77758,0.286773,0.7306,1.3152,3.05,12,0.254167,e850924e53b1b52b5df6b194b4cc568d08282b00ccd43880d1b6a6b8218dbbb9,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed0__ep04,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,0,4,4,100,20,ON,0.1,1,0,0,0,49.107695,47.534009,0.603812,21.3079,23.1777,0.9193,0.820222,0.713497,1,0.832037,0.838443,0.269264,0.9265,1.3974,3.12,12,0.26,e850924e53b1b52b5df6b194b4cc568d08282b00ccd43880d1b6a6b8218dbbb9,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed0__ep05,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,0,5,4,100,20,ON,0.1,1,0,0,0,46.803985,47.534009,0.438118,21.3253,23.1388,0.9216,0.782416,0.706229,2,0.83401,0.818683,0.288578,0.8552,1.4981,2.93,12,0.244167,e850924e53b1b52b5df6b194b4cc568d08282b00ccd43880d1b6a6b8218dbbb9,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed0__ep06,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,0,6,4,100,20,ON,0.1,1,0,0,0,45.481599,47.534009,0.624064,21.447,22.9948,0.9327,0.807871,0.688026,0,0.849725,0.814262,0.256258,0.825,1.5498,2.13,12,0.1775,e850924e53b1b52b5df6b194b4cc568d08282b00ccd43880d1b6a6b8218dbbb9,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed0__ep07,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,0,7,4,100,20,ON,0.1,1,0,0,0,47.058988,47.534009,0.610924,21.7024,23.0529,0.9414,0.787603,0.683671,0,0.881206,0.796492,0.281527,0.9345,1.3294,2.97,12,0.2475,e850924e53b1b52b5df6b194b4cc568d08282b00ccd43880d1b6a6b8218dbbb9,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed0__ep08,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,0,8,4,100,20,ON,0.1,1,0,0,0,48.890665,47.534009,0.598386,21.3341,22.9902,0.928,0.811092,0.725214,0,0.871678,0.817099,0.296106,0.7331,1.4568,1.97,12,0.164167,e850924e53b1b52b5df6b194b4cc568d08282b00ccd43880d1b6a6b8218dbbb9,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed0__ep09,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,0,9,4,100,20,ON,0.1,1,0,0,0,41.506481,47.534009,0.436466,21.5661,23.0095,0.9373,0.777714,0.731073,1,0.792117,0.787289,0.27391,0.7082,1.4089,1.92,12,0.16,e850924e53b1b52b5df6b194b4cc568d08282b00ccd43880d1b6a6b8218dbbb9,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
