draw_id,scenario,training_seed,evaluation_episode_index,robot1_start_x,robot1_start_y,robot1_goal_x,robot1_goal_y,robot2_start_x,robot2_start_y,robot2_goal_x,robot2_goal_y,robot3_start_x,robot3_start_y,robot3_goal_x,robot3_goal_y,robot4_start_x,robot4_start_y,robot4_goal_x,robot4_goal_y,euclidean_distance_mean_m,astar_reference_path_length_m,grid_factor_q
draw_0001,dynamic_pedestrians,0,0,-5.0117,4.0108,5,-4,-4.9501,-4.0417,5,4,5.0235,-3.9719,-5,4,5.03,4.039,-5,-4,12.8192,12.8192,
draw_0002,dynamic_pedestrians,0,1,-5.0172,4.0431,5,-4,-4.9749,-4.0132,5,4,5.001,-4.0129,-5,4,4.9859,3.9923,-5,-4,12.8118,12.8118,
draw_0003,dynamic_pedestrians,0,2,-5.0488,3.9877,5,-4,-5.0367,-4.0434,5,4,4.9667,-3.9751,-5,4,5,3.9598,-5,-4,12.8112,12.8112,
draw_0004,dynamic_pedestrians,0,3,-5.0361,3.9892,5,-4,-5.0418,-3.9951,5,4,4.9878,-3.96,-5,4,4.9739,4.0033,-5,-4,12.8058,12.8058,
draw_0005,dynamic_pedestrians,0,4,-5.0184,4.0313,5,-4,-5.0467,-3.9879,5,4,4.9683,-4.0089,-5,4,5.0475,3.9906,-5,-4,12.825,12.825,
draw_0006,dynamic_pedestrians,0,5,-4.9889,3.9884,5,-4,-5.0041,-3.9742,5,4,4.9753,-4.0311,-5,4,5.0208,4.0478,-5,-4,12.8106,12.8106,
draw_0007,dynamic_pedestrians,0,6,-5.0378,4.0315,5,-4,-4.9655,-3.9554,5,4,4.9768,-3.9582,-5,4,4.9655,3.9621,-5,-4,12.7812,12.7812,
draw_0008,dynamic_pedestrians,0,7,-5.0359,3.9863,5,-4,-4.9757,-3.9853,5,4,5.0051,-4.0108,-5,4,4.9729,4.016,-5,-4,12.804,12.804,
draw_0009,dynamic_pedestrians,0,8,-5.0286,3.9734,5,-4,-5.0122,-4.0161,5,4,5.0068,-4.0135,-5,4,4.978,3.9808,-5,-4,12.8087,12.8087,
draw_0010,dynamic_pedestrians,0,9,-5.0178,3.9613,5,-4,-4.9958,-4.0407,5,4,5.0199,-3.961,-5,4,5.0324,4.0009,-5,-4,12.8135,12.8135,
draw_0011,dynamic_pedestrians,1,0,-5.0319,3.9877,5,-4,-4.9619,-4.0117,5,4,5.0285,-4.04,-5,4,4.9719,4.0212,-5,-4,12.8146,12.8146,
draw_0012,dynamic_pedestrians,1,1,-5.0123,4.0034,5,-4,-5.01,-3.9878,5,4,5.0108,-4.0087,-5,4,4.9779,3.971,-5,-4,12.8038,12.8038,
draw_0013,dynamic_pedestrians,1,2,-4.9737,3.9952,5,-4,-5.0261,-4.0329,5,4,5.031,-3.9672,-5,4,4.9879,3.954,-5,-4,12.802,12.802,
draw_0014,dynamic_pedestrians,1,3,-5.0125,3.9687,5,-4,-4.9538,-4.0437,5,4,4.9948,-4.0418,-5,4,5.0299,4.013,-5,-4,12.8151,12.8151,
draw_0015,dynamic_pedestrians,1,4,-5.0278,3.9783,5,-4,-4.9844,-3.9899,5,4,4.9785,-3.9706,-5,4,5.0474,4.0331,-5,-4,12.8093,12.8093,
draw_0016,dynamic_pedestrians,1,5,-5.0417,3.9894,5,-4,-5.0179,-3.9985,5,4,4.9947,-4.0335,-5,4,4.9855,3.9974,-5,-4,12.817,12.817,
draw_0017,dynamic_pedestrians,1,6,-5.0042,3.9781,5,-4,-5.0462,-4.0391,5,4,5.0314,-3.9782,-5,4,5.0427,3.9716,-5,-4,12.8254,12.8254,
