record_id,protocol_id,scenario,controller,group_type,group_id,training_seed_if_applicable,evaluation_episode_index,robot_count,safety_envelope,control_step_s,fully_successful_episode,collision_episode,rr_near_miss_count,rp_near_miss_count,average_completion_time_s,makespan_s,average_waiting_time_s,average_path_length_m,astar_reference_path_length_m,executed_to_astar_ratio,trajectory_straightness,min_rr_center_distance_m,min_rp_center_distance_m,intervention_ratio,checkpoint_sha256
classicalref__static_clutter__Classical_local_controller__g0__ep00,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,0,N/A,0,4,ON,0.1,1,0,0,N/A,37.469696,38.87104,2.257368,17.8611,21.1127,0.846,0.747099,0.677161,N/A,0.2699475,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g0__ep01,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,0,N/A,1,4,ON,0.1,1,0,0,N/A,38.283464,38.496778,2.173901,17.8066,21.2377,0.8384,0.738358,0.674548,N/A,0.27095458,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g0__ep02,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,0,N/A,2,4,ON,0.1,1,0,0,N/A,36.961563,39.113997,2.178037,17.4206,21.4252,0.8131,0.745786,0.639842,N/A,0.27236098,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g0__ep03,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,0,N/A,3,4,ON,0.1,1,0,0,N/A,35.909588,39.506129,2.007383,17.3606,21.1127,0.8223,0.765689,0.659854,N/A,0.27633992,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g0__ep04,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,0,N/A,4,4,ON,0.1,1,0,0,N/A,36.87143,40.48244,1.742396,17.9585,21.3627,0.8406,0.742571,0.631218,N/A,0.2708485,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g0__ep05,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,0,N/A,5,4,ON,0.1,1,0,0,N/A,35.370771,40.146083,2.473004,17.4705,21.3002,0.8202,0.740319,0.650532,N/A,0.27070124,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g0__ep06,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,0,N/A,6,4,ON,0.1,1,0,0,N/A,35.693394,38.446097,2.129435,17.6743,21.2377,0.8322,0.731798,0.647806,N/A,0.27031959,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g0__ep07,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,0,N/A,7,4,ON,0.1,1,0,0,N/A,34.846556,37.721751,2.495484,17.323,21.3627,0.8109,0.768261,0.656511,N/A,0.27633235,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g0__ep08,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,0,N/A,8,4,ON,0.1,1,0,0,N/A,34.685229,39.775461,2.260393,17.9952,21.1127,0.8523,0.762064,0.639995,N/A,0.27024497,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g0__ep09,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,0,N/A,9,4,ON,0.1,1,0,0,N/A,37.324135,39.331184,2.115336,17.8145,21.2377,0.8388,0.763177,0.648992,N/A,0.27619185,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g1__ep00,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,1,N/A,0,4,ON,0.1,1,0,0,N/A,38.136973,40.973101,2.009592,17.4306,21.4252,0.8136,0.761624,0.622356,N/A,0.26507226,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g1__ep01,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,1,N/A,1,4,ON,0.1,1,0,0,N/A,34.549364,41.472272,2.761199,17.9555,21.3627,0.8405,0.732199,0.658281,N/A,0.26348817,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g1__ep02,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,1,N/A,2,4,ON,0.1,1,0,0,N/A,37.101047,39.640448,2.309357,17.3361,21.4252,0.8091,0.737573,0.658573,N/A,0.26563731,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g1__ep03,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,1,N/A,3,4,ON,0.1,1,0,0,N/A,41.007487,41.378815,1.841233,17.824,21.4252,0.8319,0.731688,0.644482,N/A,0.2614699,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g1__ep04,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,1,N/A,4,4,ON,0.1,1,0,0,N/A,38.158261,38.304013,2.26564,17.4062,21.4252,0.8124,0.764895,0.67407,N/A,0.26536061,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g1__ep05,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,1,N/A,5,4,ON,0.1,1,0,0,N/A,35.430027,41.456214,2.262467,17.9984,21.3002,0.845,0.742248,0.635347,N/A,0.26708915,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g1__ep06,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,1,N/A,6,4,ON,0.1,1,0,0,N/A,36.898228,38.340589,2.121273,17.4066,21.3627,0.8148,0.73868,0.645397,N/A,0.26414586,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g1__ep07,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,1,N/A,7,4,ON,0.1,1,0,0,N/A,39.014281,42.577142,1.999544,17.8066,21.3002,0.836,0.755324,0.651259,N/A,0.26244618,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g1__ep08,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,1,N/A,8,4,ON,0.1,1,0,0,N/A,36.772166,42.055484,2.167276,17.5341,21.2377,0.8256,0.769912,0.641946,N/A,0.26100666,N/A (classical controller)
classicalref__static_clutter__Classical_local_controller__g1__ep09,classical_control_reference,static_clutter,Classical local controller,evaluation_seed,1,N/A,9,4,ON,0.1,1,0,0,N/A,37.133123,39.793789,2.696369,17.4152,21.1127,0.8249,0.740948,0.666886,N/A,0.26533009,N/A (classical controller)
