path,sha256,byte_count,row_count,column_count
CA_GAT_MAPPO_Data.xlsx,46005e837fead0f3d7ffe65485faff18469e1a8a181096ed536d4c2f85d7d2c4,2576331,,
README.md,bf91d4c79d064d26ce346349b22930b653d50935aa9dd631f41447270ee763ac,1864,,
ablation/ablation_episodes.csv,d7335bfcd85c2e098fca184fa996bdf3d64050ce6d3dc526aa7246485139197a,229347,480,36
astar/astar_reference_per_episode.csv,ae432c35443a5cf64c9b48f8569d959c1819f9d27669e5d785fc1d1f1992faff,21090,240,10
astar/astar_reference_per_robot.csv,b5e4e094e5d6d0e59c3e91945b25622ef66b76a695678c4bdc5119aa42afb976,270658,960,19
astar/astar_validation_report.md,047501198924470d9cd18776564ace5a167da317a67a47ae48c8bb8fb0387229,1571,,
astar/draw_geometry.csv,53faaee0df37faa834e7170dc939362c4ec18e89bc0f68cf910d93fceda29b9e,30670,240,23
classical/classical_reference.csv,6156997c2fa56a4e477d6a12069417696b17146742d50656583c14456acbf064,145286,480,26
data_validation.md,a84a84d20dd2975085f29c65b34aee4a4eb5c057b77e3b9e6474b6252c89447c,2261,,
main/main_episodes.csv,e8679ab3cdbfda0b6f24bd195e81304603cf6a8fab22e1a95961b9f653edadfb,535765,960,61
main/main_seed_summary.csv,72c44d86699c7a6a08e23a654440f511db99cecb1a1e8e64f854d602e2e38c47,22412,96,24
main/validation.csv,335f1abba53f025de061f87019f41b51f708a3464640c8ad175fc8dc70d2a9f6,579919,1920,30
mechanism/gate_diagnostic.csv,612191c57ba087fca78db9f805201a67d67e4c44756aa2b41e77c85aee35d87c,56175,300,19
mechanism/mechanism_trace.csv,0a683f540dd2dafef7e040b1eae9edfe40816edfeb2bfc32764db9698ac4ca15,2198134,7707,37
mechanism/raw/mechanism_episode_config.json,35af17f7185d6d38da475a7c752a24d7d4a9d0c77509861e25cffe4ae44ea06d,3348,,
mechanism/raw/mechanism_run_metadata.json,1760908ab771e0d25e1f8e785fe578f98fc2fcb83552da7aa70c4e540514ee48,1445,,
mechanism/raw/mechanism_runtime_raw.csv,605babe8a6e1a621ea0a342e297ca072977f6bc7ef85c0f09a282a8a3ba032bd,882988,5360,22
mechanism/raw/mechanism_runtime_raw.jsonl,35d59711648b0c093ac75014bdf6efb92741b8d65aa4f7957fe5ba5077b45c8a,4720528,,
mechanism/raw/mechanism_validation_report.md,123eb04c710f6887e210a09d6c776e8d7d463388457e01785e2cb38feb3f0b6d,913,,
metadata/data_dictionary.csv,1376e7fb622ed68657feff0949d37c9e51a5c4197f0fc91129339c21201136e9,28544,434,5
provenance/released_checkpoints.csv,e0aa7f69d2c9b84996fc4b8edca81cc20077c31a993e7badbe0aea9c096708c9,5971,24,11
provenance/checkpoints.csv,b0a0457065f4e384687b6b720280712b485a1f2f02f316cd5ea8373e1ca43a5c,54696,144,14
provenance/runtime.csv,cf8a82ffeae1492ab8cb0728148258b25dd1381720657c404eac87d7f6830b9f,33116,98,21
safety/safety_audit.csv,4bcbea8f6f32854ed3fcd76bc4c561199ea0fac0374a1edd47adeadd6bfa8f9b,439668,1200,31
safety/safety_off.csv,e1fcb9b552ec60d26b545a4c00298e08a5c20d47701bd0b98d45cd3611acca48,294725,960,38
scalability/inference_benchmark.csv,8a91ac71aed0cfc7ed05b427bc97e4d4542ca90f253f4c936949239e35430d77,2034,12,19
scalability/scalability.csv,40b7e9aa342d8e61c61fa91ee08d8dafec92f65d3405bc9087eabb06ba514815,186335,640,31
statistics/paired_stats.csv,41cba9673fa4310df2306731f4b16365dc72d87577d857421bb1b05bdae55bc1,1928,9,22
