record_id,protocol_id,scenario,scenario_index,method,training_seed,evaluation_episode_index,evaluation_seed_e,robot_random_seed,pedestrian_random_seed,robot_count,pedestrian_present,max_steps,control_step_s,safety_envelope,deterministic_action,start_xy_perturbation_m,start_yaw_perturbation_rad,pedestrian_phase_min_s,pedestrian_phase_max_s,pedestrian_speed_factor_min,pedestrian_speed_factor_max,successful_robots,fully_successful_episode,collision_episode,rr_collision_count,rp_collision_count,obstacle_collision_count,timeout_failure_count,deadlock_failure_count,rr_near_miss_count,rp_near_miss_count,average_completion_time_s,makespan_s,flowtime_s,average_waiting_time_s,average_path_length_m,astar_reference_path_length_m,executed_to_astar_ratio,trajectory_straightness,turning_per_m_rad_per_m,sharp_turn_count,min_rr_center_distance_m,min_rp_center_distance_m,safety_filter_intervention_count,safety_filter_evaluated_command_count,intervention_ratio,mean_normalized_intervention_magnitude,max_normalized_intervention_magnitude,pre_filter_min_pred_rr_distance_m,pre_filter_min_pred_rp_distance_m,pre_filter_rr_risk_observation_count,pre_filter_rp_risk_observation_count,mean_policy_inference_time_ms,p95_policy_inference_time_ms,mean_control_step_time_ms,episode_wall_time_s,real_time_factor,checkpoint_sha256,source_commit,config_sha256
main__static_clutter__IPPO__seed0__ep00,main_comparison,static_clutter,0,IPPO,0,0,0,0,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,35.10792,37.893463,140.43168,1.799764,17.722646,21.1127,0.8394,0.733443,0.891307,1,0.671949,N/A,650,2269,0.286469810489202,0.118078,1.013985,0.571157,,244,,0.763,1.4895,1.1811,36.9521,0.952381,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed0__ep01,main_comparison,static_clutter,0,IPPO,0,1,1,1000004,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,35.398572,38.751481,141.594288,2.242227,17.492983,21.2377,0.8237,0.738502,0.874791,1,0.716011,N/A,527,1897,0.277807063784923,0.102207,0.984015,0.608609,,347,,0.7466,1.7221,1.4089,40.0542,0.952381,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed0__ep02,main_comparison,static_clutter,0,IPPO,0,2,2,2000008,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,35.277299,38.557458,141.109197,2.381924,16.851074,21.4252,0.7865,0.730573,0.920782,2,0.695983,N/A,426,1567,0.27185705169113,0.108255,1.013985,0.591585,,356,,0.9517,1.4725,1.1786,36.8421,0.952381,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed0__ep03,main_comparison,static_clutter,0,IPPO,0,3,3,3000012,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,38.27367,38.475039,153.094682,1.820022,17.884892,21.1127,0.8471,0.747149,0.818641,1,0.72444,N/A,608,2051,0.296440760604583,0.125123,0.984015,0.615774,,326,,0.7458,1.3406,1.1677,39.2997,0.952381,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed0__ep04,main_comparison,static_clutter,0,IPPO,0,4,4,4000016,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,36.701851,36.89536,146.807404,1.814521,17.348725,21.3627,0.8121,0.74111,0.920091,2,0.73789,N/A,539,1916,0.281315240083507,0.118784,1.013985,0.627206,,338,,0.7224,1.4064,1.2137,35.4731,0.952381,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed0__ep05,main_comparison,static_clutter,0,IPPO,0,5,5,5000020,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,32.883928,36.719071,131.535713,1.711936,17.346532,21.3002,0.8144,0.714595,0.863807,3,0.688417,N/A,585,1999,0.292646323161581,0.099808,0.984015,0.585155,,407,,0.7007,1.6454,1.3542,37.7102,0.952381,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed0__ep06,main_comparison,static_clutter,0,IPPO,0,6,6,6000024,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,36.648962,37.387078,146.595849,2.137852,17.836145,21.2377,0.8398,0.738007,0.933563,2,0.664132,N/A,540,1932,0.279503105590062,0.123685,1.013985,0.564512,,280,,0.9717,1.6322,1.3723,35.6935,0.952381,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed0__ep07,main_comparison,static_clutter,0,IPPO,0,7,7,7000028,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,35.107218,38.845493,140.428871,2.05525,16.921706,21.3627,0.7921,0.710736,0.790551,1,0.709565,N/A,566,1994,0.283851554663992,0.122028,0.984015,0.60313,,335,,0.9288,1.7854,1.1288,37.1753,0.952381,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed0__ep08,main_comparison,static_clutter,0,IPPO,0,8,8,8000032,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,36.523776,37.196745,146.095104,2.096869,17.479948,21.1127,0.8279,0.723295,0.91057,1,0.652474,N/A,560,2055,0.272506082725061,0.117205,1.013985,0.554603,,417,,0.8042,1.8793,1.3049,36.3056,0.952381,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed0__ep09,main_comparison,static_clutter,0,IPPO,0,9,9,9000036,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,36.577123,38.403111,146.308493,1.329808,17.717692,21.2377,0.8343,0.725372,0.927069,1,0.698294,N/A,671,2333,0.287612516073725,0.114286,0.984015,0.59355,,339,,1.0419,1.5569,1.4815,36.5461,0.952381,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
