protocol_id,scenario,method,training_seed,n_test_episodes,successful_episodes,collision_episodes,rr_near_miss_episodes,rp_near_miss_episodes,completion_mean_s,makespan_mean_s,waiting_mean_s,path_length_mean_m,astar_ratio_mean,straightness_mean,turning_per_m_mean,sharp_turns_mean,min_rr_mean_m,min_rp_mean_m,intervention_ratio_mean,mean_norm_intervention_mean,max_norm_intervention_mean,source_raw_file,computed_by_script
main_comparison,static_clutter,IPPO,0,10,10,0,0,N/A,35.850032,37.91243,1.939017,17.460234,0.8217,0.730278,0.885117,1.5,0.695915,N/A,0.283000950886777,0.1149459,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,IPPO,1,10,10,0,0,N/A,35.346953,38.669632,1.846867,17.531,0.8216,0.731891,0.962836,1.3,0.650537,N/A,0.294071531246755,0.1174493,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,IPPO,2,10,10,0,0,N/A,36.327676,38.649477,1.826932,17.271969,0.8128,0.742228,1.038996,1.8,0.671067,N/A,0.274646095328094,0.1118417,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,IPPO,3,10,10,0,0,N/A,35.449695,38.795163,1.932494,17.278462,0.8119,0.732372,1.025408,0.5,0.636776,N/A,0.258295726955613,0.1147657,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,IPPO,4,10,10,0,0,N/A,35.38516,38.42215,1.939355,17.200183,0.809,0.735743,1.046984,0.5,0.643078,N/A,0.312725147939789,0.1166596,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,IPPO,5,10,10,0,0,N/A,35.7401,38.147998,1.909523,17.367788,0.8192,0.726222,0.939091,0.5,0.670953,N/A,0.34101122691668,0.1165573,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,IPPO,6,10,10,0,0,N/A,35.806259,38.744588,1.823105,17.66641,0.8331,0.722757,0.97237,1.2,0.68497,N/A,0.298580683760706,0.1153609,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,IPPO,7,10,10,0,0,N/A,35.374125,38.418562,1.902706,17.263955,0.8131,0.74251,0.969199,2.4,0.634704,N/A,0.273643501582821,0.1124199,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,IPPO,0,10,10,0,0,0,31.951507,35.250054,2.635078,13.404383,1.0465,0.941586,0.791256,3.1,0.677622,0.8294,0.275944579165176,0.1550366,0.852,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,IPPO,1,10,10,0,0,0,32.091022,35.678807,1.447995,13.313082,1.0392,0.939307,0.780177,2.9,0.621057,0.869,0.374677686978238,0.1321939,0.852,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,IPPO,2,10,10,0,0,0,31.559953,36.064309,1.798463,13.584741,1.0607,0.93928,0.834222,3.9,0.676257,0.82,0.309617386102369,0.1679217,0.8520002,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,IPPO,3,10,10,0,0,0,32.14001,34.54356,2.037735,13.251599,1.0348,0.940693,0.764914,4.8,0.689878,0.8208,0.212973061515178,0.165899,0.8520001,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,IPPO,4,10,10,0,0,0,32.304417,35.902245,1.314337,13.325428,1.0405,0.938874,0.886309,2.5,0.70283,0.8693,0.403939607882842,0.1287245,0.8520001,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,IPPO,5,10,10,0,0,0,32.02144,35.397785,1.621615,13.314709,1.0393,0.939729,0.851835,3.2,0.664535,0.924,0.294124214023999,0.1363747,0.852,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,IPPO,6,10,10,0,0,0,32.321995,35.979402,1.215166,13.38862,1.0457,0.937772,0.923735,4.3,0.631042,0.8351,0.300913469904004,0.1604792,0.8519999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,IPPO,7,10,10,0,0,0,32.569657,35.743838,1.289612,13.377439,1.0448,0.94276,0.807553,3.3,0.656778,0.8565,0.251832547165724,0.1373707,0.8520001,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,IPPO,0,10,10,0,0,0,47.062817,50.374391,1.084909,21.304113,0.9243,0.787418,0.77979,0.1,0.836697,0.8031,0.329796879837654,0.1607399,0.8410088,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,IPPO,1,10,10,0,0,0,47.952558,51.56983,1.037414,21.340086,0.9251,0.792625,0.748627,0.4,0.7801,0.8224,0.314928848301551,0.1614845,0.8414326,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,IPPO,2,10,10,0,0,0,47.297025,50.109453,0.836899,21.673779,0.9399,0.785106,0.693978,1.6,0.84433,0.7836,0.314472468251599,0.160551,0.8415389,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,IPPO,3,10,10,0,0,0,47.385375,49.378423,1.032771,21.393821,0.9266,0.777298,0.771418,0.2,0.846334,0.781,0.314429471356282,0.1591233,0.8461078,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,IPPO,4,10,10,0,0,0,47.899647,49.998826,1.046012,21.688158,0.9415,0.768473,0.655106,0.7,0.84671,0.8069,0.295599295918055,0.1608073,0.8438014,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,IPPO,5,10,10,0,0,0,46.925465,50.428356,0.994019,21.520035,0.9326,0.774093,0.782019,2.1,0.795993,0.7455,0.303716727836464,0.1591285,0.8407762,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,IPPO,6,10,10,0,0,0,47.703645,50.03874,0.922927,21.592398,0.9376,0.774342,0.715558,0.8,0.856585,0.7833,0.313601343328962,0.1588778,0.839857,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,IPPO,7,10,10,0,0,0,47.133469,50.74198,0.96505,21.887608,0.9498,0.780646,0.733505,0.4,0.793251,0.7144,0.317451265939252,0.159288,0.8414773,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MAPPO,0,10,10,0,0,N/A,34.760913,38.346374,4.616405,17.999658,0.847,0.730239,1.071055,2.7,0.607014,N/A,0.303394638976862,0.1380888,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MAPPO,1,10,10,0,0,N/A,38.662135,39.411102,4.247939,17.789338,0.8338,0.729234,0.961173,2.8,0.678142,N/A,0.255851310785023,0.1117835,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MAPPO,2,10,10,0,0,N/A,35.312868,37.723541,1.304239,17.677054,0.8319,0.712791,1.177451,1.7,0.639016,N/A,0.299362494869818,0.1252877,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MAPPO,3,10,10,0,0,N/A,41.174812,46.550223,2.631086,17.527028,0.8236,0.727298,1.018625,0.7,0.636491,N/A,0.264353281196834,0.1214193,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MAPPO,4,10,10,0,0,N/A,42.489397,46.966851,0.726951,17.142153,0.8062,0.738588,0.934705,1.1,0.609226,N/A,0.311743169655591,0.1163202,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MAPPO,5,10,10,0,0,N/A,35.876483,49.09797,3.924944,17.484273,0.8247,0.711598,1.055114,1.8,0.653884,N/A,0.28814195867526,0.1274216,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MAPPO,6,10,10,0,0,N/A,36.103727,36.836518,1.236044,17.64815,0.8322,0.721818,1.028861,3.2,0.704821,N/A,0.288127024567342,0.1304507,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MAPPO,7,10,10,0,0,N/A,35.139665,36.267421,3.872391,17.692345,0.8333,0.712434,0.993015,3.5,0.655405,N/A,0.229047393123207,0.1452283,0.999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MAPPO,0,10,10,0,0,0,33.02925,35.495965,2.966104,13.328051,1.0405,0.944229,0.725131,3.9,0.697855,0.8615,0.257292745585732,0.1410676,0.852,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MAPPO,1,10,10,0,0,0,31.793828,35.539776,1.57818,13.420432,1.0476,0.941672,0.858695,2.4,0.711063,0.8528,0.264920034891967,0.1431879,0.8520001,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MAPPO,2,10,10,0,0,0,32.223861,36.03271,2.471448,13.491555,1.0535,0.939796,0.75293,3.6,0.664836,0.8695,0.261745717423438,0.1421271,0.8519998,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MAPPO,3,10,10,0,0,0,32.40873,35.45071,1.676917,13.222724,1.0325,0.926184,0.723863,3.9,0.716763,0.8218,0.26554041891712,0.1424944,0.8520001,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MAPPO,4,10,10,0,0,0,32.186739,35.905072,2.425003,13.544136,1.0576,0.931632,0.808809,4.1,0.657968,0.8772,0.267376176412799,0.1419992,0.8520001,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MAPPO,5,10,10,0,0,0,32.073056,35.068453,2.258291,13.339086,1.0412,0.938985,0.87968,1.8,0.668682,0.9294,0.272504922530376,0.1402458,0.8519999,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MAPPO,6,10,10,0,0,0,32.033107,35.443836,1.450964,13.508716,1.0551,0.941093,0.753143,3.2,0.636924,0.864,0.262573238242523,0.1431447,0.852,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MAPPO,7,10,10,0,0,0,32.651429,35.303477,1.013094,13.345301,1.0422,0.940408,0.817749,4.3,0.653909,0.8999,0.275999480555242,0.1417337,0.8520002,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MAPPO,0,10,10,0,0,0,47.151576,50.485598,1.072403,21.472959,0.9317,0.765647,0.7311,0.1,0.884454,0.7703,0.309848946095852,0.1613617,0.8417046,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MAPPO,1,10,10,0,0,0,48.031304,51.237887,1.062345,21.424361,0.9288,0.772362,0.787732,1.8,0.832258,0.8142,0.328929975065518,0.1614732,0.8420286,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MAPPO,2,10,10,0,0,0,47.808325,51.091573,1.095378,21.560062,0.935,0.777645,0.789994,0.4,0.826727,0.7547,0.316732467580642,0.1615974,0.8408882,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MAPPO,3,10,10,0,0,0,46.426803,49.512394,1.135219,21.39557,0.9267,0.792748,0.732897,2.3,0.833393,0.8089,0.31553236567221,0.1660559,0.8411025,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MAPPO,4,10,10,0,0,0,48.802129,49.94988,1.069779,21.88727,0.9502,0.786047,0.757731,1.9,0.849183,0.7829,0.320235683942774,0.1628715,0.8405755,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MAPPO,5,10,10,0,0,0,46.899161,49.557177,1.037659,21.892308,0.9487,0.770528,0.703299,1.2,0.869521,0.8104,0.325120472392836,0.1590518,0.842178,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MAPPO,6,10,10,0,0,0,47.742656,51.226618,1.064613,21.469399,0.9322,0.779984,0.793819,0.5,0.843443,0.7848,0.323453739335643,0.1625588,0.8403882,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MAPPO,7,10,10,0,0,0,48.018045,51.178874,1.102604,21.858071,0.9486,0.771039,0.863429,0.8,0.805022,0.7938,0.320124197028687,0.16103,0.8391346,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MADDPG-style,0,10,10,0,0,N/A,35.454311,37.795527,1.237542,17.279221,0.8131,0.739586,0.918718,1,0.685223,N/A,0.272172305352097,0.1205749,0.9985775,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MADDPG-style,1,10,10,0,0,N/A,35.676783,37.991354,1.588746,17.390564,0.815,0.740234,0.91732,0.2,0.713862,N/A,0.269836435585449,0.1189185,0.9944385,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MADDPG-style,2,10,10,0,0,N/A,34.936899,37.543982,1.454715,17.457476,0.8216,0.728221,0.951393,1.8,0.670823,N/A,0.264765168426731,0.1195468,0.992736,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MADDPG-style,3,10,10,0,0,N/A,34.888528,38.321633,1.627855,17.297933,0.8129,0.740872,1.005824,1.7,0.670611,N/A,0.265952696247582,0.1219243,0.9880307,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MADDPG-style,4,10,10,0,0,N/A,35.459968,38.107431,1.15675,17.071007,0.8029,0.743488,0.884337,1.5,0.704167,N/A,0.269744022324097,0.1198176,0.992203,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MADDPG-style,5,10,10,0,0,N/A,35.115254,37.724968,1.301752,17.333206,0.8176,0.733135,0.969912,1.3,0.728956,N/A,0.266164479806148,0.1196812,0.9993425,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MADDPG-style,6,10,10,0,0,N/A,35.621888,37.78706,1.466391,17.215471,0.8118,0.734919,1.018494,0.4,0.670926,N/A,0.272658103383888,0.1205895,0.999285,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,MADDPG-style,7,10,10,0,0,N/A,35.086369,38.488045,1.286248,17.515123,0.8249,0.727544,0.894003,0.9,0.691431,N/A,0.270707195848701,0.1189468,0.995387,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MADDPG-style,0,10,10,0,0,0,32.751029,37.687522,2.315185,13.302012,1.0385,0.91226,0.866801,4,0.688063,0.8325,0.285038246232093,0.1490492,0.8656009,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MADDPG-style,1,10,10,0,0,0,34.669939,36.011288,1.806341,13.529388,1.0561,0.929823,0.873871,4.3,0.653061,0.8054,0.252266034557981,0.1730455,0.8568889,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MADDPG-style,2,10,10,0,0,0,36.14779,42.732778,2.673626,13.400285,1.0463,0.93127,0.954094,4.4,0.700601,0.8339,0.237124297390262,0.1784997,0.957924,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MADDPG-style,3,10,10,0,0,0,34.270542,49.841272,2.839329,13.780153,1.076,0.917813,0.912015,2.8,0.608744,0.7393,0.240202796967863,0.1580009,0.9160459,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MADDPG-style,4,10,10,0,0,0,32.571588,35.783826,2.937466,13.692706,1.0692,0.941171,0.865842,3.8,0.626579,0.9203,0.315732962929945,0.1384446,0.8187025,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MADDPG-style,5,10,10,0,0,0,33.942885,44.648208,2.544249,13.891957,1.0843,0.927821,0.933032,2.6,0.613643,0.8442,0.291391451342368,0.1804871,0.8875158,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MADDPG-style,6,10,10,0,0,0,34.393774,38.347378,2.462726,13.595901,1.0619,0.937112,0.732049,1.5,0.653245,0.8434,0.288262568724994,0.1435646,0.8324114,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,MADDPG-style,7,10,10,0,0,0,30.532454,34.147728,2.021078,13.447598,1.0502,0.91873,0.782295,3,0.608065,0.789,0.298004621098484,0.1589083,0.9049108,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MADDPG-style,0,10,10,0,0,0,47.480658,49.160574,0.911664,21.503732,0.9329,0.791335,0.826608,1.2,0.779825,0.7759,0.33337998267039,0.1694362,0.8372774,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MADDPG-style,1,10,10,0,0,0,47.413831,49.30027,1.092659,21.267398,0.9219,0.774673,0.818177,1.9,0.837519,0.7558,0.342575122496198,0.1616499,0.8412769,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MADDPG-style,2,10,10,0,0,0,47.606769,52.42934,1.017521,21.205272,0.9196,0.765081,0.705887,2.6,0.829906,0.8416,0.318409529203315,0.1597777,0.8390557,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MADDPG-style,3,10,10,0,0,0,48.658416,51.334162,0.806212,21.913888,0.9491,0.789202,0.73134,1.2,0.810416,0.7278,0.312329832654082,0.164276,0.8498974,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MADDPG-style,4,10,10,0,0,0,48.67171,51.29416,0.895618,21.665582,0.9405,0.78586,0.660786,0.3,0.818087,0.7905,0.310259895311683,0.1672392,0.8320375,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MADDPG-style,5,10,10,0,0,0,47.503791,51.764974,1.005214,21.719556,0.9413,0.773671,0.718918,0.4,0.79574,0.7263,0.337757385227014,0.1650835,0.847477,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MADDPG-style,6,10,10,0,0,0,47.044379,50.122689,1.000253,21.67804,0.9413,0.774368,0.770334,0.3,0.841074,0.7103,0.318483728696704,0.1668163,0.8416174,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,MADDPG-style,7,10,10,0,0,0,47.460446,51.79383,1.19086,21.686531,0.9411,0.777811,0.68795,0.1,0.823433,0.7839,0.326960719665246,0.1577213,0.8473612,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,CA-GAT-MAPPO,0,10,10,0,0,N/A,33.694782,36.504128,0.450084,17.105885,0.805,0.733818,0.957458,0.6,0.723751,N/A,0.208702949732984,0.1493602,0.9565483,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,CA-GAT-MAPPO,1,10,10,0,0,N/A,33.489468,36.545888,0.540861,17.34899,0.8131,0.742803,0.909632,0.9,0.70028,N/A,0.213887236789305,0.1441186,0.9867218,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,CA-GAT-MAPPO,2,10,10,0,0,N/A,33.771205,36.786494,0.569788,17.065769,0.8031,0.747059,0.951811,0.3,0.723529,N/A,0.204723846832431,0.1473399,0.977892,01_main/main_episode_records.csv,aggregate_results.py
