diagnostic_id,scenario,method,step_index,t_s,pair_i,pair_j,relative_distance_m,relative_speed_m_s,tau_CPA_s,d_CPA_m,edge_active,gate_value_i,gate_value_j,raw_residual_i,gated_residual_i,raw_residual_j,gated_residual_j,expected_interpretation
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,0,0,robot_1,robot_2,2.4289,0.3437,3.153,2.3091,0,0,0,-0.0737,0,-0.1233,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,1,0.1,robot_1,robot_2,2.414,0.3472,3.091,2.2932,0,0,0,0.1352,0,0.1532,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,2,0.2,robot_1,robot_2,2.501,0.2998,3.108,2.3923,0,0,0,0.1383,0,-0.0284,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,3,0.3,robot_1,robot_2,2.3563,0.3031,3.038,2.1884,0,0,0,-0.1711,0,0.0586,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,4,0.4,robot_1,robot_2,2.5014,0.302,2.912,2.3838,0,0,0,0.1396,0,0.0001,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,5,0.5,robot_1,robot_2,2.4912,0.3407,2.717,2.3682,0,0,0,0.1361,0,0.1028,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,6,0.6,robot_1,robot_2,2.3263,0.279,2.995,2.152,0,0,0,0.1378,0,-0.1523,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,7,0.7,robot_1,robot_2,2.416,0.3147,2.709,2.2588,0,0,0,0.1417,0,-0.0055,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,8,0.8,robot_1,robot_2,2.3005,0.2886,2.715,2.1756,0,0,0,-0.0093,0,0.1934,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,9,0.9,robot_1,robot_2,2.292,0.3708,2.948,2.186,0,0,0,-0.1077,0,-0.1886,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,10,1,robot_1,robot_2,2.3692,0.3425,2.776,2.2357,0,0,0,0.1117,0,-0.1982,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,11,1.1,robot_1,robot_2,2.3261,0.3572,2.564,2.2056,0,0,0,-0.1478,0,-0.021,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,12,1.2,robot_1,robot_2,2.3414,0.3559,2.563,2.1668,0,0,0,-0.1897,0,-0.0025,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,13,1.3,robot_1,robot_2,2.2178,0.369,2.607,2.0418,0,0,0,-0.1842,0,-0.0688,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,14,1.4,robot_1,robot_2,2.1899,0.3969,2.596,2.0544,0,0,0,-0.1061,0,-0.0808,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,15,1.5,robot_1,robot_2,2.2429,0.3646,2.571,2.0803,0,0,0,0.0146,0,-0.114,0,无预测冲突，gate关闭
slow_closing_no_predicted_conflict,controlled_pair_diagnostic,CA-GAT-MAPPO,16,1.6,robot_1,robot_2,2.2476,0.3259,2.728,2.058,0,0,0,0.1951,0,-0.0185,0,无预测冲突，gate关闭
