record_type,t,robot_id,x,y,vx,vy,omega,pair_i,pair_j,relative_distance,relative_velocity_x,relative_velocity_y,relative_velocity,tau_cpa,d_cpa,edge_active,gate_value,priority_state,residual_vx,residual_vy,residual_omega
robot,0.0,robot_1,-6.022617136361165,5.987569819933862,0.0,0.0,0.0,,,,,,,,,,0.0,proceed,0.0002687734377104789,-0.0,0.0
robot,0.0,robot_2,-5.959832653363655,-6.0299149568582875,0.0,0.0,0.0,,,,,,,,,,0.0,proceed,0.0,-0.0,0.0
robot,0.0,robot_3,6.043949431736061,6.036462711321811,0.0,0.0,0.0,,,,,,,,,,0.0,proceed,0.0,0.0,0.0
robot,0.0,robot_4,5.956391114916235,-5.95008908731279,0.0,0.0,0.0,,,,,,,,,,0.0,proceed,6.668688729405403e-05,-0.0,0.0
pair,0.0,,,,,,,robot_1,robot_2,12.017648782176,0.003735896242816339,-0.10092727638249649,0.10099639616702134,-118.93080490384743,0.38178995311804403,0,,,,,
pair,0.0,,,,,,,robot_1,robot_3,12.066665622994197,-1.0226562867678255,-0.4940264478693068,1.1357323681484657,9.585409296329864,5.204749430973984,0,,,,,
pair,0.0,,,,,,,robot_1,robot_4,16.911662806180157,-1.1815121608130692,-0.20180747279237465,1.1986230609428525,8.174467663107222,13.784102017279139,0,,,,,
pair,0.0,,,,,,,robot_2,robot_3,17.020230738086845,-1.0263921830106417,-0.3930991714868103,1.0990941142454396,14.125629111261647,6.97497950735216,0,,,,,
pair,0.0,,,,,,,robot_2,robot_4,11.916491138970702,-1.1852480570558854,-0.10088019640987815,1.1895334256684202,9.987163306757203,0.931035239135221,0,,,,,
pair,0.0,,,,,,,robot_3,robot_4,11.98687158854197,-0.15885587404524382,0.2922189750769322,0.3326065515194959,31.536469428497647,5.801811045348961,0,,,,,
robot,0.1,robot_1,-6.022617136361165,5.987569819933862,0.0,0.0,0.0,,,,,,,,,,0.0,proceed,0.00026919294032268226,-0.0,0.0
robot,0.1,robot_2,-5.959832653363655,-6.0299149568582875,0.0,0.0,0.0,,,,,,,,,,0.0,proceed,0.0,-0.0,0.0
robot,0.1,robot_3,6.043949431736061,6.036462711321811,-0.0,0.0,0.0,,,,,,,,,,0.0,proceed,0.0,0.0,0.0
robot,0.1,robot_4,5.956391114916235,-5.95008908731279,0.0,-0.0,0.0,,,,,,,,,,0.0,proceed,6.599210610147566e-05,-0.0,0.0
pair,0.1,,,,,,,robot_1,robot_2,12.017648782176,0.003735896242816339,-0.10092727638249649,0.10099639616702134,-118.93080490384743,0.38178995311804403,0,,,,,
pair,0.1,,,,,,,robot_1,robot_3,12.066665622994197,-1.0226562867678255,-0.4940264478693068,1.1357323681484657,9.585409296329864,5.204749430973984,0,,,,,
pair,0.1,,,,,,,robot_1,robot_4,16.911662806180157,-1.1815121608130692,-0.20180747279237465,1.1986230609428525,8.174467663107222,13.784102017279139,0,,,,,
pair,0.1,,,,,,,robot_2,robot_3,17.020230738086845,-1.0263921830106417,-0.3930991714868103,1.0990941142454396,14.125629111261647,6.97497950735216,0,,,,,
pair,0.1,,,,,,,robot_2,robot_4,11.916491138970702,-1.1852480570558854,-0.10088019640987815,1.1895334256684202,9.987163306757203,0.931035239135221,0,,,,,
pair,0.1,,,,,,,robot_3,robot_4,11.98687158854197,-0.15885587404524382,0.2922189750769322,0.3326065515194959,31.536469428497647,5.801811045348961,0,,,,,
robot,0.2,robot_1,-6.019844873558381,5.987465265182577,0.019755431676687203,0.02027546568086888,0.020295450476762792,,,,,,,,,,0.0,proceed,0.0002568374911788851,-0.0,0.0
robot,0.2,robot_2,-5.957012819473449,-6.029661714979517,0.0205801761102044,-0.02027477175597503,-0.02029541690546172,,,,,,,,,,0.0,proceed,0.0,-0.0,0.0
robot,0.2,robot_3,6.0420926510797255,6.035331651364674,0.020630757881866375,-0.008158149418659087,-0.020295409362413898,,,,,,,,,,0.0,proceed,0.0,0.0,0.0
robot,0.2,robot_4,5.954020602866753,-5.950659114148053,0.014411760545315703,0.020278974496679543,0.020295438274307187,,,,,,,,,,0.0,proceed,4.639620237867348e-05,-0.0,0.0
pair,0.2,,,,,,,robot_1,robot_2,12.017291239058835,0.0036870820721632835,-0.0986772198330673,0.09874607986239434,-121.63615009055134,0.3859195330798754,0,,,,,
pair,0.2,,,,,,,robot_1,robot_3,12.062032500337537,-1.0224585679142362,-0.49342552038861653,1.1352930314557592,9.586890504167163,5.199297661286298,0,,,,,
pair,0.2,,,,,,,robot_1,robot_4,16.908349066183074,-1.1820316268798565,-0.19902626164019105,1.1986701880695583,8.196968020479295,13.76054433431237,0,,,,,
pair,0.2,,,,,,,robot_2,robot_3,17.01595125238047,-1.0261456499863995,-0.3947483005555492,1.0994549175739332,14.125951148656496,6.952366891193779,0,,,,,
pair,0.2,,,,,,,robot_2,robot_4,11.9112954206939,-1.1857187089520198,-0.10034904180712373,1.1899574727486915,9.979572819796317,0.9257355445301484,0,,,,,
pair,0.2,,,,,,,robot_3,robot_4,11.986314334132608,-0.1595730589656203,0.2943992587484255,0.3348648752844462,31.34283695167915,5.789109876783008,0,,,,,
robot,0.30000000000000004,robot_1,-6.0058649131231405,5.9890777505716555,0.0725948271245801,0.09916429436466151,0.14528705849541035,,,,,,,,,,0.0,proceed,0.00018707479466684163,-0.0,0.0
robot,0.30000000000000004,robot_2,-5.942586351605348,-6.029949368221,0.08080071937049556,-0.09647577387028339,-0.14528708437989907,,,,,,,,,,0.0,proceed,0.0,-0.0,0.0
robot,0.30000000000000004,robot_3,6.032019622359139,6.026263839106782,0.1190686540697615,-0.021037536192135393,-0.14528704905529166,,,,,,,,,,0.0,proceed,0.0,0.0,0.0
robot,0.30000000000000004,robot_4,5.943343296414134,-5.9563147018933025,0.039274050808869476,0.09798659786027704,0.1452870442606578,,,,,,,,,,0.0,proceed,0.0,-0.0,0.0
pair,0.30000000000000004,,,,,,,robot_1,robot_2,12.019193694196838,0.00344774416178828,-0.09010246410413554,0.09016840343181295,-133.2246864964145,0.3963359103779531,0,,,,,
pair,0.30000000000000004,,,,,,,robot_1,robot_3,12.037941970901171,-1.022394506936147,-0.49019505313738243,1.1338349606241502,9.587640590180705,5.17085184395114,0,,,,,
pair,0.30000000000000004,,,,,,,robot_1,robot_4,16.896034377281545,-1.1840827018951372,-0.1876203962584559,1.198854977893268,8.285005729102277,13.66824849687491,0,,,,,
pair,0.30000000000000004,,,,,,,robot_2,robot_3,16.992453181699542,-1.0258422510979353,-0.4000925890332469,1.1011023585194093,14.110265372683168,6.881123930870044,0,,,,,
pair,0.30000000000000004,,,,,,,robot_2,robot_4,11.886157733336441,-1.1875304460569256,-0.09751793215432035,1.1915277199477212,9.946962734937479,0.8993897959035517,0,,,,,
pair,0.30000000000000004,,,,,,,robot_3,robot_4,11.982906658320376,-0.16168819495899028,0.30257465687892654,0.34306631337759846,30.683564800540204,5.725635620722509,0,,,,,
robot,0.4,robot_1,-5.975908487256423,5.993631757507224,0.1314732143565785,0.18011751944933152,0.28351406790031786,,,,,,,,,,0.0,proceed,8.642469765618443e-05,-0.0,0.0
robot,0.4,robot_2,-5.911522948420474,-6.031525194689385,0.14743894156114246,-0.17491526036375804,-0.28351411586549313,,,,,,,,,,0.0,proceed,0.0,-0.0,0.0
robot,0.4,robot_3,6.009754180182573,6.006486371961206,0.21933439703741953,-0.034451456197914884,-0.214823862818013,,,,,,,,,,0.0,proceed,0.0,0.0,0.0
robot,0.4,robot_4,5.922416296940599,-5.9701125122183205,0.057566157816847735,0.1747733784178227,0.2835140514631395,,,,,,,,,,0.0,proceed,0.0,-0.0,0.0
pair,0.4,,,,,,,robot_1,robot_2,12.025329318674546,0.0031368171825676416,-0.08047170636734896,0.08053282031389242,-149.23777959707485,0.40405271600304016,0,,,,,
pair,0.4,,,,,,,robot_1,robot_3,11.98566956071932,-1.0219504991530814,-0.4867532329929945,1.1319503224737226,9.56442727588695,5.142384040812737,0,,,,,
pair,0.4,,,,,,,robot_1,robot_4,16.87309425154817,-1.1866385630016842,-0.1725653128743714,1.1991204553380497,8.38345413831187,13.551497995946972,0,,,,,
pair,0.4,,,,,,,robot_2,robot_3,16.94197659235095,-1.0250873163356489,-0.40628152662564554,1.1026643573587966,14.073207005933515,6.798640265924354,0,,,,,
pair,0.4,,,,,,,robot_2,robot_4,11.834098596026031,-1.1897753801842519,-0.09209360650702245,1.1933342732244185,9.891097955056958,0.8520352339397989,0,,,,,
pair,0.4,,,,,,,robot_3,robot_4,11.976917330364248,-0.1646880638486029,0.31418792011862307,0.3547339954425961,29.788876035129903,5.637585952581312,0,,,,,
robot,0.5,robot_1,-5.939002504959195,6.0011479328748125,0.18316652875637313,0.2506385638479484,0.39697943615907727,,,,,,,,,,0.0,proceed,2.7518701244844124e-05,-0.0,0.0
robot,0.5,robot_2,-5.8730793119816065,-6.035298616481861,0.20573248119420498,-0.24277954136121008,-0.39697950010383326,,,,,,,,,,0.0,proceed,0.0,-0.0,0.0
robot,0.5,robot_3,5.981481420603968,5.982025983301937,0.30685989613003983,-0.04360139386449502,-0.19616802676956588,,,,,,,,,,0.0,proceed,0.0,0.0,0.0
robot,0.5,robot_4,5.899083210184506,-5.988536379831531,0.067826966783852,0.23461114550668205,0.3969794191073102,,,,,,,,,,0.0,proceed,0.0,-0.0,0.0
pair,0.5,,,,,,,robot_1,robot_2,12.036627077503587,0.002794695061696162,-0.06694670438918858,0.0670050113727419,-179.5197389052739,0.4361592755595552,0,,,,,
pair,0.5,,,,,,,robot_1,robot_3,11.92049926255462,-1.0212409706702088,-0.48289193319967627,1.1296538139291838,9.532390597627527,5.11292360067741,0,,,,,
pair,0.5,,,,,,,robot_1,robot_4,16.849118769759027,-1.1892178359823402,-0.1556710960271817,1.1993633942874962,8.489293289010908,13.424783753862524,0,,,,,
pair,0.5,,,,,,,robot_2,robot_3,16.880364353269414,-1.0240356657319047,-0.4159452288104877,1.1052870568595266,14.028493315746271,6.672765210377573,0,,,,,
pair,0.5,,,,,,,robot_2,robot_4,11.772255397971493,-1.1920125310440364,-0.08872439163799314,1.1953099563868537,9.82436260208783,0.8271802478452158,0,,,,,
pair,0.5,,,,,,,robot_3,robot_4,11.970845949837791,-0.16797686531213152,0.32722083717249456,0.36781748675118503,28.85050629937018,5.540084489120467,0,,,,,
robot,0.6000000000000001,robot_1,-5.881832375517871,6.015674464074746,0.060347452707529795,0.07901702793875617,0.12374177987841263,,,,,,,,,,0.0,proceed,0.0001291300868615508,-0.0,0.0
robot,0.6000000000000001,robot_2,-5.813656037287066,-6.043457669194137,0.0663540505215108,-0.0714983335770395,-0.12374179661612897,,,,,,,,,,0.0,proceed,0.0,-0.0,0.0
