checkpoint_key,experiment_group,method_or_variant,scenario,training_seed,training_episodes,validation_points,selected_training_episode,checkpoint_relative_path,checkpoint_sha256,source_commit,config_sha256,selection_score_text,release_in_public_repo
main__static_clutter__IPPO__seed0,main,IPPO,static_clutter,0,100,20,80,checkpoints/IPPO/static_clutter/seed0_ep80.pt,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.88",no
main__static_clutter__IPPO__seed1,main,IPPO,static_clutter,1,100,20,80,checkpoints/IPPO/static_clutter/seed1_ep80.pt,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.98",no
main__static_clutter__IPPO__seed2,main,IPPO,static_clutter,2,100,20,100,checkpoints/IPPO/static_clutter/seed2_ep100.pt,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.50",no
main__static_clutter__IPPO__seed3,main,IPPO,static_clutter,3,100,20,85,checkpoints/IPPO/static_clutter/seed3_ep85.pt,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.55",no
main__static_clutter__IPPO__seed4,main,IPPO,static_clutter,4,100,20,100,checkpoints/IPPO/static_clutter/seed4_ep100.pt,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.32",no
main__static_clutter__IPPO__seed5,main,IPPO,static_clutter,5,100,20,95,checkpoints/IPPO/static_clutter/seed5_ep95.pt,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.80",no
main__static_clutter__IPPO__seed6,main,IPPO,static_clutter,6,100,20,100,checkpoints/IPPO/static_clutter/seed6_ep100.pt,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.92",no
main__static_clutter__IPPO__seed7,main,IPPO,static_clutter,7,100,20,85,checkpoints/IPPO/static_clutter/seed7_ep85.pt,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=30.60",no
main__dynamic_pedestrians__IPPO__seed0,main,IPPO,dynamic_pedestrians,0,100,20,90,checkpoints/IPPO/dynamic_pedestrians/seed0_ep90.pt,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.46",no
main__dynamic_pedestrians__IPPO__seed1,main,IPPO,dynamic_pedestrians,1,100,20,90,checkpoints/IPPO/dynamic_pedestrians/seed1_ep90.pt,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.52",no
main__dynamic_pedestrians__IPPO__seed2,main,IPPO,dynamic_pedestrians,2,100,20,100,checkpoints/IPPO/dynamic_pedestrians/seed2_ep100.pt,079dc55227c823d2038fb781f829a1517493628ffdf9b8844df83ced833e96ed,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.35",no
main__dynamic_pedestrians__IPPO__seed3,main,IPPO,dynamic_pedestrians,3,100,20,100,checkpoints/IPPO/dynamic_pedestrians/seed3_ep100.pt,07715cfcac7e888d879b5845f677c634d52aa64d135d8f3146afd9653392fe01,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.54",no
main__dynamic_pedestrians__IPPO__seed4,main,IPPO,dynamic_pedestrians,4,100,20,85,checkpoints/IPPO/dynamic_pedestrians/seed4_ep85.pt,649d968c6bc85cf4f2668400cf24732f884cf8691925ae67142d2fe815735db4,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.37",no
main__dynamic_pedestrians__IPPO__seed5,main,IPPO,dynamic_pedestrians,5,100,20,95,checkpoints/IPPO/dynamic_pedestrians/seed5_ep95.pt,220f2150ebd6d42971c33b968dbbdae82bedb7d505f59246a34cfd6cd75a7756,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.31",no
main__dynamic_pedestrians__IPPO__seed6,main,IPPO,dynamic_pedestrians,6,100,20,90,checkpoints/IPPO/dynamic_pedestrians/seed6_ep90.pt,65af418f1e27017063ed5793bfdd7f777e76f37b9dd9a330382a7045a4598fe6,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.29",no
