method,scenario,training_seed,checkpoint_relative_path,checkpoint_sha256,bytes,protocol_version,source_commit,training_rows,validation_rows,release_in_public_repo
CA-GAT-MAPPO,mixed_complex,0,checkpoints/ca_gat_mappo/mixed_complex/seed0/best_checkpoint.pt,17f9bd19b811cf41b2381eb345e2f86b269dc296600d5e514a5a4b7e93c2a52b,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,mixed_complex,1,checkpoints/ca_gat_mappo/mixed_complex/seed1/best_checkpoint.pt,c03005bf0eb040e6bc05ad26f5269c09756ec688c4ef76c4212972cc7b3087b7,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,mixed_complex,2,checkpoints/ca_gat_mappo/mixed_complex/seed2/best_checkpoint.pt,acf5c75f3fd19af7c0822a6c4224371c1d2b201b48cdb52067a468b8ca443f8d,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,pedestrian_dynamic,0,checkpoints/ca_gat_mappo/pedestrian_dynamic/seed0/best_checkpoint.pt,bb969d1636b90ed17c79719f4966c0ad27fb48ea1c8a7308f89f7f889c343ce7,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,pedestrian_dynamic,1,checkpoints/ca_gat_mappo/pedestrian_dynamic/seed1/best_checkpoint.pt,f11d442e8326b29b8c482981815352ae59461071bea97fe78c4c8acb2ea6e3e4,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,pedestrian_dynamic,2,checkpoints/ca_gat_mappo/pedestrian_dynamic/seed2/best_checkpoint.pt,a8a922ea0cffbde7e44052f7911a32fa1e28deef780bd45b75e680bcab29a728,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,pedestrian_dynamic,3,checkpoints/ca_gat_mappo/pedestrian_dynamic/seed3/best_checkpoint.pt,3c1e5fbfc0eae97e727fb24bd14ded3fe34038c73fdc71cc00ffd811fe141a73,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,pedestrian_dynamic,4,checkpoints/ca_gat_mappo/pedestrian_dynamic/seed4/best_checkpoint.pt,48d7d5343c6957825f95ffa910b17b7606aa02a14d66527cad761185d5977abd,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,pedestrian_dynamic,5,checkpoints/ca_gat_mappo/pedestrian_dynamic/seed5/best_checkpoint.pt,fc361c1ce4ecf0c7f58b32a53d133d7043853178a6f04473fd9b57d5e5ed7945,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,pedestrian_dynamic,6,checkpoints/ca_gat_mappo/pedestrian_dynamic/seed6/best_checkpoint.pt,76441423b1c5aea9391e3967e2b1b8471459bda0b574bf893b22607f2724aa5c,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,static_clutter,0,checkpoints/ca_gat_mappo/static_clutter/seed0/best_checkpoint.pt,70b9c2fe2abadb59b9660e106ad2c2a27e90e9f52480924cb0dd6a8300608887,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,static_clutter,1,checkpoints/ca_gat_mappo/static_clutter/seed1/best_checkpoint.pt,afba7f01dd9b0882bae5333d6070bd7e65f486057762db52266a243634c10aa0,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,static_clutter,2,checkpoints/ca_gat_mappo/static_clutter/seed2/best_checkpoint.pt,f8cd0bb0a4c56a7fb59378a3aae0c5c877e77aeca1a900c957fc23021fc2b79c,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,static_clutter,3,checkpoints/ca_gat_mappo/static_clutter/seed3/best_checkpoint.pt,32ec93f20864370f2e513574ad19e905da45298dcec1e3233cbe41c6f9b3811d,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,static_clutter,4,checkpoints/ca_gat_mappo/static_clutter/seed4/best_checkpoint.pt,0f4d851b955343e10e021c7948d22859f6e6a30b6b0faae307dc3a5134ba7f42,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,static_clutter,5,checkpoints/ca_gat_mappo/static_clutter/seed5/best_checkpoint.pt,446f518eddaf25985fbad95019d70220a20155d287fa6f65f127c0e4b3afa595,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,static_clutter,6,checkpoints/ca_gat_mappo/static_clutter/seed6/best_checkpoint.pt,6f5ec9a1ac3aaf5f8e5da7ba8400f52000b3d4be2a288bdee137c2fb6659ff9c,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,static_clutter,7,checkpoints/ca_gat_mappo/static_clutter/seed7/best_checkpoint.pt,0601d6778b3b2fc08644c355f9d52b0d0097b1cd4f8c417d4ec20c59e4c36834,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,pedestrian_dynamic,7,checkpoints/ca_gat_mappo/pedestrian_dynamic/seed7/best_checkpoint.pt,37dce53df5cff0eac34756e52253382c01e60614ba1af571298bde5fe073f981,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,mixed_complex,3,checkpoints/ca_gat_mappo/mixed_complex/seed3/best_checkpoint.pt,ddc9c19bbe5cc0b6271ae235f817766a9e661c1bedb56203b02157214fdbd10a,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,mixed_complex,4,checkpoints/ca_gat_mappo/mixed_complex/seed4/best_checkpoint.pt,11c38a79d1afa5e49c9a41d9e36b76c5b4c78baf7c0c596de46096db69218a74,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,mixed_complex,5,checkpoints/ca_gat_mappo/mixed_complex/seed5/best_checkpoint.pt,6bbafc2707725dcb59c6d22c1d75985540e650342c039dd070b2f68a25cda995,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,mixed_complex,6,checkpoints/ca_gat_mappo/mixed_complex/seed6/best_checkpoint.pt,16dbf2efd57877866410114e715245c1a801dbc2fc6c78e04b1346a23b0d6720,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
CA-GAT-MAPPO,mixed_complex,7,checkpoints/ca_gat_mappo/mixed_complex/seed7/best_checkpoint.pt,c07591c3882afef74357867782d2343eb346130d9ca0ef11cbc19b7123de2592,317931,formal-experiment-v1,77e2533c5387b362827f2f2bed753ac563d933f3,100,20,yes
