record_id,protocol_id,scenario,controller,group_type,group_id,evaluation_episode_index,robot_count,safety_envelope,control_step_s,fully_successful_episode,successful_robots,collision_episode,collision_type,rr_near_miss_count,rp_near_miss_count,intervention_count,evaluated_command_count,intervention_ratio,mean_normalized_intervention_magnitude,episode_max_normalized_intervention_magnitude,average_completion_time_s,makespan_s,average_waiting_time_s,min_rr_center_distance_m,min_rp_center_distance_m,checkpoint_sha256,evaluation_seed_e,robot_random_seed,pedestrian_random_seed,draw_id
audit__static_clutter__Classical_local_controller__g0__ep00,safety_envelope_intervention_audit (independent evaluation draw from main experiment),static_clutter,Classical local controller,evaluation_seed,0,0,4,ON,0.1,1,4,0,N/A,0,N/A,404,1390,0.290647482014389,0.12172,1.009,32.448,36.3418,2.4735,0.686684,N/A,N/A,6549,6549949,N/A (no pedestrians),draw_static_clutter_Classical local controller_g0_ep0
audit__static_clutter__Classical_local_controller__g0__ep01,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,0,1,4,ON,0.1,1,4,0,N/A,0,N/A,403,1614,0.249690210656753,0.119889,0.989,32.0394,35.8842,1.1204,0.64465,N/A,N/A,7175,7175675,N/A (no pedestrians),draw_static_clutter_Classical local controller_g0_ep1
audit__static_clutter__Classical_local_controller__g0__ep02,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,0,2,4,ON,0.1,1,4,0,N/A,0,N/A,420,1629,0.257826887661142,0.116441,0.999,31.1956,34.9391,2.055,0.671959,N/A,N/A,8409,8409109,N/A (no pedestrians),draw_static_clutter_Classical local controller_g0_ep2
audit__static_clutter__Classical_local_controller__g0__ep03,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,0,3,4,ON,0.1,1,4,0,N/A,0,N/A,433,1475,0.293559322033898,0.120458,0.999,33.4791,37.4966,2.2298,0.673383,N/A,N/A,10599,10599499,N/A (no pedestrians),draw_static_clutter_Classical local controller_g0_ep3
audit__static_clutter__Classical_local_controller__g0__ep04,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,0,4,4,ON,0.1,1,4,0,N/A,0,N/A,412,1357,0.303610906411201,0.106259,0.999,31.6091,35.4022,1.0372,0.630101,N/A,N/A,6479,6479879,N/A (no pedestrians),draw_static_clutter_Classical local controller_g0_ep4
audit__static_clutter__Classical_local_controller__g0__ep05,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,0,5,4,ON,0.1,1,4,0,N/A,0,N/A,414,1561,0.265214606021781,0.113918,0.999,30.3131,33.9507,1.3565,0.685707,N/A,N/A,10967,10967867,N/A (no pedestrians),draw_static_clutter_Classical local controller_g0_ep5
audit__static_clutter__Classical_local_controller__g0__ep06,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,0,6,4,ON,0.1,1,4,0,N/A,0,N/A,388,1487,0.260928043039677,0.110529,0.999,32.1328,35.9888,2.0392,0.679681,N/A,N/A,5464,5464764,N/A (no pedestrians),draw_static_clutter_Classical local controller_g0_ep6
audit__static_clutter__Classical_local_controller__g0__ep07,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,0,7,4,ON,0.1,1,4,0,N/A,0,N/A,446,1590,0.280503144654088,0.110996,0.999,32.2834,36.1574,2.1676,0.698573,N/A,N/A,10789,10789689,N/A (no pedestrians),draw_static_clutter_Classical local controller_g0_ep7
audit__static_clutter__Classical_local_controller__g0__ep08,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,0,8,4,ON,0.1,1,4,0,N/A,0,N/A,443,1613,0.274643521388717,0.127231,0.999,33.4447,37.4581,1.667,0.676051,N/A,N/A,7025,7025525,N/A (no pedestrians),draw_static_clutter_Classical local controller_g0_ep8
audit__static_clutter__Classical_local_controller__g0__ep09,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,0,9,4,ON,0.1,1,4,0,N/A,0,N/A,396,1506,0.262948207171315,0.115714,0.999,33.7584,37.8094,1.7372,0.696928,N/A,N/A,10710,10710610,N/A (no pedestrians),draw_static_clutter_Classical local controller_g0_ep9
audit__static_clutter__Classical_local_controller__g1__ep00,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,1,0,4,ON,0.1,1,4,0,N/A,0,N/A,393,1513,0.259748843357568,0.128172,1.009,30.6032,34.2755,2.2377,0.630008,N/A,N/A,9795,9795595,N/A (no pedestrians),draw_static_clutter_Classical local controller_g1_ep0
audit__static_clutter__Classical_local_controller__g1__ep01,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,1,1,4,ON,0.1,1,4,0,N/A,0,N/A,412,1401,0.294075660242684,0.122748,0.989,33.0958,37.0673,1.4308,0.683672,N/A,N/A,9858,9858658,N/A (no pedestrians),draw_static_clutter_Classical local controller_g1_ep1
audit__static_clutter__Classical_local_controller__g1__ep02,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,1,2,4,ON,0.1,1,4,0,N/A,0,N/A,407,1394,0.291965566714491,0.125878,0.999,31.1794,34.9209,1.1904,0.681388,N/A,N/A,11523,11523523,N/A (no pedestrians),draw_static_clutter_Classical local controller_g1_ep2
audit__static_clutter__Classical_local_controller__g1__ep03,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,1,3,4,ON,0.1,1,4,0,N/A,0,N/A,408,1583,0.257738471257107,0.12039,0.999,31.036,34.7603,2.072,0.695182,N/A,N/A,9882,9882682,N/A (no pedestrians),draw_static_clutter_Classical local controller_g1_ep3
