record_id,protocol_id,scenario,method,training_seed,evaluation_episode_index,robot_count,policy_checkpoint_reused_from_main,safety_envelope,A_star_guide,ORCA_style_prior,velocity_slew_limits,pedestrian_limiter,lidar_safety_filter,robot_robot_shield,control_step_s,successful_robots,fully_successful_episode,collision_episode,rr_collision_count,rp_collision_count,obstacle_collision_count,timeout_failure_count,deadlock_failure_count,rr_near_miss_count,rp_near_miss_count,average_completion_time_s,makespan_s,average_waiting_time_s,average_path_length_m,astar_reference_path_length_m,executed_to_astar_ratio,trajectory_straightness,min_rr_center_distance_m,min_rp_center_distance_m,pre_filter_min_pred_rr_distance_m,pre_filter_min_pred_rp_distance_m,checkpoint_sha256
safetyoff__static_clutter__IPPO__seed0__ep00,safety_off_evaluation,static_clutter,IPPO,0,0,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,33.25,36.71,0.861,17.72,21.1127,0.8393,0.6825,0.6494,N/A,0.5195,N/A,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7
safetyoff__static_clutter__IPPO__seed0__ep01,safety_off_evaluation,static_clutter,IPPO,0,1,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,34.94,39.82,1.232,18.27,21.2377,0.8603,0.7272,0.7119,N/A,0.5695,N/A,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7
safetyoff__static_clutter__IPPO__seed0__ep02,safety_off_evaluation,static_clutter,IPPO,0,2,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,38.75,41.93,2.3,17.05,21.4252,0.7958,0.7584,0.7158,N/A,0.5726,N/A,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7
safetyoff__static_clutter__IPPO__seed0__ep03,safety_off_evaluation,static_clutter,IPPO,0,3,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,37.65,42.97,1.221,18.23,21.1127,0.8635,0.706,0.5341,N/A,0.4273,N/A,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7
safetyoff__static_clutter__IPPO__seed0__ep04,safety_off_evaluation,static_clutter,IPPO,0,4,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,34.3,38.03,2.859,17.23,21.3627,0.8065,0.7096,0.4923,N/A,0.3938,N/A,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7
safetyoff__static_clutter__IPPO__seed0__ep05,safety_off_evaluation,static_clutter,IPPO,0,5,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,3,0,1,1,0,0,0,0,1,N/A,33.99,37.76,1.006,17.79,N/A (episode terminated early),N/A (early termination),0.7203,0.3352,N/A,0.2682,N/A,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7
safetyoff__static_clutter__IPPO__seed0__ep06,safety_off_evaluation,static_clutter,IPPO,0,6,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,33.2,37,0.865,17.53,21.2377,0.8254,0.6728,0.4571,N/A,0.3657,N/A,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7
safetyoff__static_clutter__IPPO__seed0__ep07,safety_off_evaluation,static_clutter,IPPO,0,7,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,36.65,40.63,2.028,17.69,21.3627,0.8281,0.6991,0.5739,N/A,0.4591,N/A,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7
safetyoff__static_clutter__IPPO__seed0__ep08,safety_off_evaluation,static_clutter,IPPO,0,8,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,37.72,42.1,2.634,18.01,21.1127,0.853,0.6853,0.6232,N/A,0.4986,N/A,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7
safetyoff__static_clutter__IPPO__seed0__ep09,safety_off_evaluation,static_clutter,IPPO,0,9,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,37.75,42.4,1.395,17.04,21.2377,0.8023,0.7309,0.49,N/A,0.392,N/A,d8d5be0e8626ad49710c77eb6f182799ad00b97f9741ac6aa506e3a139696ef7
