record_id,protocol_id,scenario,method,base_training_robot_count,evaluation_robot_count,zero_shot_variable_team_size,training_seed,evaluation_episode_index,safety_envelope,possible_directed_nonself_edge_count,active_conflict_edge_count_mean,active_conflict_edge_count_max,edge_density_mean,CPA_graph_build_time_mean_ms,GAT_message_passing_time_mean_ms,policy_inference_time_mean_ms,policy_inference_time_p95_ms,control_step_time_mean_ms,peak_GPU_memory_MB,real_time_factor,fully_successful_episode,collision_episode,near_miss_episode,average_completion_time_s,makespan_s,average_waiting_time_s,average_path_length_m,min_rr_center_distance_m,episode_wall_time_s,checkpoint_sha256
scal__mixed_complex__CA-GAT-MAPPO__N4__seed0__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,0,0,ON,12,7.1,8,0.591667,0.0931,0.2798,0.7687,1.3837,1.2,1200,0.95,1,0,0,50.61,58.21,1.32,21.0146,0.8472,55.7,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N4__seed0__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,0,1,ON,12,5.5,6,0.458333,0.0887,0.2526,0.782,1.4077,1.2,1200,0.95,1,0,0,55.08,63.35,0.649,22.0941,0.8522,60.6,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N4__seed0__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,0,2,ON,12,5,5,0.416667,0.0942,0.2895,0.7908,1.4234,1.2,1200,0.95,1,0,0,53.94,62.03,0.929,22.0502,0.8527,59.3,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N4__seed0__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,0,3,ON,12,5.5,7,0.458333,0.0997,0.2253,0.8643,1.5557,1.2,1200,0.95,1,0,0,46.98,54.03,0.671,21.339,0.8589,51.7,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N4__seed0__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,0,4,ON,12,7.2,8,0.6,0.0706,0.2448,0.7183,1.2929,1.2,1200,0.95,1,0,0,54.52,62.7,0.401,22.0031,0.8406,60,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N4__seed0__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,0,5,ON,12,4.1,6,0.341667,0.0819,0.2489,0.8861,1.595,1.2,1200,0.95,1,0,0,54.84,63.06,1.138,21.5228,0.8459,60.3,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N4__seed0__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,0,6,ON,12,3.2,4,0.266667,0.0897,0.2752,0.9592,1.7266,1.2,1200,0.95,1,0,0,51.77,59.54,1.463,20.9801,0.8535,56.9,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N4__seed0__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,0,7,ON,12,5.3,7,0.441667,0.0726,0.2235,0.9859,1.7746,1.2,1200,0.95,1,0,0,52.88,60.82,1.321,21.9787,0.872,58.2,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N4__seed0__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,0,8,ON,12,4.6,5,0.383333,0.0926,0.2557,0.8197,1.4754,1.2,1200,0.95,1,0,0,43.11,49.58,0.434,21.242,0.8283,47.4,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N4__seed0__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,0,9,ON,12,5.9,7,0.491667,0.0989,0.24,0.7922,1.426,1.2,1200,0.95,1,0,0,55.59,63.93,1.162,21.3111,0.8598,61.1,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N4__seed1__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,1,0,ON,12,3.7,5,0.308333,0.0707,0.2996,0.9075,1.6335,1.2,1200,0.95,1,0,0,53.15,61.12,0.849,21.3162,0.8455,58.5,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N4__seed1__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,1,1,ON,12,6.6,8,0.55,0.0932,0.2669,0.998,1.7964,1.2,1200,0.95,1,0,0,48.06,55.26,1.082,22.1409,0.8202,52.9,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N4__seed1__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,1,2,ON,12,4.5,5,0.375,0.0879,0.2598,0.8579,1.5443,1.2,1200,0.95,1,0,0,44.25,50.89,1.333,21.2885,0.8491,48.7,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N4__seed1__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,1,3,ON,12,5.2,8,0.433333,0.0818,0.2716,0.8774,1.5793,1.2,1200,0.95,1,0,0,49.01,56.36,0.91,21.6733,0.8514,53.9,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
